Feature ID,Feature Name,Area / Module,Source File(s),Route / Screen / Command / Entry Point,User Type,User Story,Expected Behaviour,Actual Behaviour,Status,Test Type,Test Steps,Test Result,Error / Bug Found,Severity,Fix Required,Fix Implemented,Files Changed,Commit Hash,Retest Steps,Retest Result,Final Status,Product Decision Needed,Notes,Original Prompt
WEB-001,Desktop primary navigation,Landing / Navigation,index.html; tests/landing-page.mjs,/,First-time visitor,"As a first-time visitor, I want a concise navigation bar so that I can reach the product, Apple proof, trust information, MCP documentation, and research quickly.","Five destinations plus one Run Apple action are visible, correctly labeled, keyboard reachable, and link to valid targets.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Open / at 1440x1000; count navigation actions; tab through links; verify href targets and focus visibility.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-002,Mobile navigation menu,Landing / Navigation,index.html; tests/landing-page.mjs,/ at 390x844,Mobile visitor,"As a mobile visitor, I want a compact menu so that I can reach every primary destination without horizontal overflow.","Menu opens and closes, exposes all primary links, updates aria-expanded, and causes no horizontal overflow.",Accessible name now includes the visible “Menu” label.,Fixed,Automated UI,Open / at 390x844; activate Menu; inspect class and aria-expanded; verify links; measure document overflow.,FAIL — qa_evidence/lighthouse/landing-mobile/report.json | FIX VERIFIED,Mobile menu displays “Menu” but its aria-label is “Toggle navigation”; Lighthouse flags label-content-name-mismatch.,Medium,Yes,Accessible name now includes the visible “Menu” label.,index.html,4883949,Open / at 390x844; activate Menu; inspect class and aria-expanded; verify links; measure document overflow.,"PASS — Lighthouse mobile: accessibility 100, 55 passed, 0 failed.",Verified,No,Pre-fix discovery evidence: qa_evidence/lighthouse/landing-mobile/report.json | Retest evidence: qa_evidence/lighthouse/retest-landing-mobile/report.json | Stable pre-fix finding: qa_evidence/logs/discovery_findings.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-003,Apple-first hero comprehension,Landing / Hero,index.html; tests/landing-page.mjs,/#top,Research prospect,"As a research prospect, I want to understand DeltaSignal within ten seconds so that I know what it does and why Apple is shown.","Hero identifies DeltaSignal as evidence infrastructure, Apple as a public reference case, controlled read-only evidence flow, concrete output, and non-advice boundary.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Inspect first viewport at 1440x1000; assert required comprehension phrases; capture screenshot; run accessibility audit.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-004,Hero primary actions,Landing / Hero,index.html; tests/landing-page.mjs,/#top,Research prospect,"As a prospect, I want two clear next steps so that I can run a sample AAPL report or understand how evidence reaches agents.","Exactly two hero actions are present, visually prominent, descriptive, and point to the AAPL demo and MCP surface.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Count hero links; inspect accessible names and hrefs; activate local AAPL link and confirm destination loads.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-005,Evidence run preview card,Landing / Hero,index.html; tests/landing-page.mjs,/#top,Financial analyst,"As an analyst, I want a compact preview of the evidence run so that I understand the source-to-packet path before clicking.","Card shows source, governance, controlled gateway, agents, inspectable packet, status, provenance, missingness, and non-advice language with legible text.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Manual UI,Inspect hero card at desktop and mobile; verify all stages and semantic colors; check text contrast and clipping.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-006,Operational proof strip,Landing / Trust strip,index.html; tests/landing-page.mjs,/ below hero,Compliance buyer,"As a compliance buyer, I want immediate operating boundaries so that I can distinguish reference evidence, access mode, and non-advice status.","Reference case date, filing-backed state, read-only MCP mode, and non-advice boundary are visible with distinct semantic rails.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Assert four proof-strip cells and required labels; verify semantic state attributes and mobile stacking.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-007,Simplified architecture overview,Landing / Architecture,index.html; tests/landing-page.mjs,/#agent-architecture,Nontechnical buyer,"As a nontechnical buyer, I want a simple architecture overview so that I can understand input, governance, controlled delivery, review, and output.","Five large, legible modules use explicit INPUT → GOVERN → CONTROLLED DELIVERY → REVIEW → OUTPUT labels, arrows, graphics, and plain language.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Scroll to architecture; count five modules; assert labels and explanations; measure typography; capture desktop/mobile screenshots.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-008,Full architecture disclosure,Landing / Architecture,index.html; tests/landing-page.mjs,/#agent-architecture,Technical evaluator,"As a technical evaluator, I want to expand the specialist architecture so that I can inspect coordinator, agents, review, Gemini synthesis, and output roles.","Detail is collapsed by default, opens from an accessible control, contains four explicitly labeled AI specialists, differentiates runtime/model/agents, and can close again.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,"Verify initial collapsed state; activate toggle twice; inspect aria-expanded, specialist count, role labels, glyphs, and full-graph visibility.",PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-009,Platform capability tabs,Landing / Product,index.html; tests/landing-page.mjs,/#platform,Agent builder,"As an agent builder, I want to compare evidence, ATLAS-7, MCP, and Google-agent capabilities so that I can understand the modular product.",Four keyboard-operable tabs switch one clear capability panel and retain understandable bullets and semantic colors.,Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Count tabs; click each; assert title/body changes and aria-selected; test keyboard focus; inspect mobile layout.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
WEB-010,Apple interactive-demo promotion,Landing / Apple proof,index.html; tests/landing-page.mjs,/#demo,Prospective client,"As a prospective client, I want a visual Apple demo preview so that I can choose interactive, presentation, or recording-plan modes.","Preview graphic is not cropped, explanatory copy is clear, and all three actions link to valid assets.",Observed behavior matched the tracker-backed expectation in the discovery test pass.,Verified,Automated UI,Inspect demo image dimensions and overflow; verify three actions and targets; load interactive and presentation destinations.,PASS — qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,,,No,,,,,Not required in discovery pass.,Verified,No,Discovery evidence: qa_evidence/logs/feature_ui_audit.json; qa_evidence/lighthouse/landing-desktop/report.json,/goal implement the cutting edge UI rich with graphics and easy to understand
